timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb,pcie_tx_mbps,pcie_rx_mbps
1785413001.3015742,100,5440.5625,6.6,11115.171875,9.7265625,40.8642578125
1785413001.8445337,100,5440.5625,6.4,11134.01953125,9.91796875,40.435546875
1785413002.3875766,100,5440.5625,6.3,11150.58203125,9.7744140625,40.3876953125
1785413002.9298153,100,5440.5625,5.4,11187.09375,1.859375,3.623046875
1785413003.4717138,100,5440.5625,4.5,11191.12109375,1.525390625,3.814453125
1785413004.0152597,100,5440.5625,5.6,11196.78515625,10.251953125,45.9189453125
1785413004.558514,100,5440.5625,5.6,11187.890625,10.8232421875,43.6298828125
1785413005.1020286,100,5440.5625,7.6,11232.55859375,10.15625,45.060546875
1785413005.6445818,100,5440.5625,5.8,11237.921875,7.771484375,18.4052734375
1785413006.1857755,0,5440.5625,8.0,10997.921875,0.5712890625,0.380859375
1785413006.7271094,0,5440.5625,7.5,10504.54296875,0.5244140625,0.380859375
1785413007.268735,0,5440.5625,5.4,10514.13671875,0.4765625,0.3330078125
1785413007.8103683,0,5440.5625,6.2,10520.24609375,0.4765625,0.3330078125
1785413008.352016,0,5440.5625,5.7,10525.28515625,0.4287109375,0.3330078125
1785413008.8937545,0,5440.5625,3.7,10526.71875,0.4287109375,0.3330078125
1785413009.4354615,0,5440.5625,4.1,10529.046875,0.4765625,0.3330078125
1785413009.977007,0,5440.5625,2.7,10531.25390625,0.4765625,0.3330078125
1785413010.5183077,0,5440.5625,4.2,10533.59375,0.4287109375,0.3330078125
1785413011.0596194,0,5440.5625,5.7,10541.66796875,0.4765625,0.3330078125
1785413011.601154,0,5440.5625,3.9,10541.828125,0.4765625,0.3330078125
1785413012.143053,0,5440.5625,10.1,10536.39453125,0.4287109375,0.3330078125
1785413012.684675,0,5440.5625,7.7,10552.578125,1.0009765625,0.3330078125
1785413013.2263386,0,5440.5625,4.1,10553.23828125,0.4765625,0.3330078125
1785413013.7679055,0,5440.5625,2.9,10544.0,0.4287109375,0.3330078125
1785413014.3096294,0,5440.5625,3.3,10539.390625,0.4287109375,0.380859375
1785413014.851126,0,5440.5625,3.4,10555.07421875,0.4287109375,0.3330078125
1785413015.392739,0,5440.5625,3.9,10547.78125,0.4765625,0.3330078125
1785413015.934482,0,5440.5625,2.7,10550.6171875,0.4765625,0.3330078125
1785413016.4762568,0,5440.5625,2.4,10558.52734375,0.4287109375,0.3330078125
1785413017.018057,0,5440.5625,2.9,10551.6640625,0.4287109375,0.3330078125
